Route , Signal_start , Signal_end , Direction , netElements , switch , platform , crossing
R_01 , S02 , S72 , >> , ne991-ne991 ,  ,  , 
R_02 , S04 , S35 , << , ne377-ne290 , D14_R-D15_R ,  , 
R_03 , S04 , S15 , << , ne377-ne113 , D15_N ,  , 
R_04 , S06 , S62 , << , ne421-ne63 , D18_R-D19_R ,  , 
R_05 , S06 , S19 , << , ne421-ne126 , D19_N ,  , 
R_06 , S08 , S126 , << , ne450-ne127 ,  ,  , 
R_07 , S08 , S88 , << , ne450-ne130 ,  ,  , 
R_08 , S10 , S45 , << , ne465-ne912 , D20_R-D21_R ,  , 
R_09 , S10 , S21 , << , ne465-ne133 , D21_N ,  , 
R_10 , S12 , S110 , << , ne102-ne114 ,  ,  , 
R_11 , S14 , S132 , >> , ne104-ne297 , D04_R ,  , 
R_12 , S16 , S03 , >> , ne113-ne377 , D15_N ,  , 
R_13 , S18 , S92 , >> , ne122-ne400 , D07_R-D16_R ,  , 
R_14 , S20 , S05 , >> , ne126-ne421 , D19_N ,  , 
R_15 , S22 , S09 , >> , ne133-ne465 , D21_N ,  , 
R_16 , S24 , S113 , >> , ne134-ne127 , D24_R ,  , 
R_17 , S29 , S48 , >> , ne114-ne114 ,  ,  , 
R_18 , S30 , S52 , >> , ne98-ne98 ,  ,  , 
R_19 , S31 , S58 , >> , ne100-ne100 ,  ,  , 
R_20 , S35 , S01 , << , ne290-ne991 , D01_N ,  , 
R_21 , S36 , S38 , >> , ne292-ne996 , Sw04_N ,  , 
R_22 , S37 , S35 , << , ne292-ne290 , D14_N ,  , 
R_23 , S38 , S30 , >> , ne996-ne98 ,  ,  , 
R_24 , S40 , S31 , >> , ne992-ne100 ,  ,  , 
R_25 , S43 , S61 , << , ne101-ne100 ,  ,  , 
R_26 , S45 , S43 , << , ne912-ne101 , D09_N ,  , 
R_27 , S46 , S29 , >> , ne132-ne114 , D23_N ,  , 
R_28 , S47 , S45 , << , ne132-ne912 , D20_N ,  , 
R_29 , S48 , S11 , >> , ne114-ne102 ,  ,  , 
R_30 , S52 , S63 , >> , ne98-ne99 ,  ,  , Lc01
R_31 , S53 , S135 , << , ne98-ne996 ,  ,  , Lc01
R_32 , S58 , S67 , >> , ne100-ne101 ,  ,  , Lc03
R_33 , S59 , S129 , << , ne100-ne992 ,  ,  , Lc03
R_34 , S60 , S67 , >> , ne100-ne101 ,  ,  , Lc04
R_35 , S61 , S59 , << , ne100-ne100 ,  ,  , Lc04
R_36 , S62 , S53 , << , ne63-ne98 , D05_N ,  , 
R_37 , S63 , S87 , >> , ne99-ne61 , D05_R ,  , 
R_38 , S63 , S104 , >> , ne99-ne63 , D05_N ,  , 
R_39 , S67 , S119 , >> , ne101-ne912 , D09_N ,  , 
R_40 , S67 , S90 , >> , ne101-ne910 , D09_R ,  , 
R_41 , S72 , S77 , >> , ne991-ne288 , D01_R ,  , 
R_42 , S72 , S95 , >> , ne991-ne290 , D01_N ,  , 
R_43 , S75 , S01 , << , ne295-ne991 , D01_R-D03_N ,  , 
R_44 , S76 , S132 , >> , ne110-ne297 , D04_R ,  , 
R_45 , S77 , S78 , >> , ne288-ne295 , D03_N ,  , 
R_46 , S77 , S76 , >> , ne288-ne110 , D03_R ,  , 
R_47 , S78 , S132 , >> , ne295-ne297 , D04_N ,  , 
R_48 , S79 , S13 , << , ne384-ne104 ,  ,  , 
R_49 , S79 , S01 , << , ne384-ne991 , D01_R-D03_R ,  , 
R_50 , S80 , S75 , << , ne297-ne295 , D04_N ,  , 
R_51 , S80 , S79 , << , ne297-ne384 , D04_R ,  , 
R_52 , S82 , S92 , >> , ne404-ne400 , D07_N ,  , 
R_53 , S83 , S85 , << , ne400-ne404 , D07_N ,  , 
R_54 , S83 , S102 , << , ne400-ne407 , D07_R ,  , 
R_55 , S85 , S53 , << , ne404-ne98 , D05_R-D08_N ,  , 
R_56 , S86 , S92 , >> , ne123-ne400 , D07_R-D16_N ,  , 
R_57 , S87 , S82 , >> , ne61-ne404 , D08_N ,  , 
R_58 , S87 , S86 , >> , ne61-ne123 , D08_R ,  , 
R_59 , S88 , S43 , << , ne130-ne101 , D09_R-D10_N ,  , 
R_60 , S89 , S113 , >> , ne135-ne127 , D24_N ,  , 
R_61 , S90 , S116 , >> , ne910-ne130 , D10_N ,  , 
R_62 , S90 , S89 , >> , ne910-ne135 , D10_R ,  , 
R_63 , S91 , S83 , << , ne993-ne400 , Sw02_N ,  , 
R_64 , S92 , S25 , >> , ne400-ne993 , Sw02_N ,  , 
R_65 , S92 , S40 , >> , ne400-ne992 , Sw02_R-Sw01_R ,  , 
R_66 , S95 , S36 , >> , ne290-ne292 , D14_N ,  , 
R_67 , S95 , S03 , >> , ne290-ne377 , D14_R-D15_R ,  , 
R_68 , S102 , S17 , << , ne407-ne122 , D16_R ,  , 
R_69 , S102 , S53 , << , ne407-ne98 , D05_R-D08_R-D16_N ,  , 
R_70 , S103 , S62 , << , ne65-ne63 , D18_N ,  , 
R_71 , S104 , S128 , >> , ne63-ne65 , D18_N ,  , 
R_72 , S104 , S05 , >> , ne63-ne421 , D18_R-D19_R ,  , 
R_73 , S110 , S47 , << , ne114-ne132 , D23_N ,  , 
R_74 , S110 , S126 , << , ne114-ne127 , D23_R ,  , 
R_75 , S110 , S88 , << , ne114-ne130 , D23_R ,  , 
R_76 , S113 , S29 , >> , ne127-ne114 , D23_R ,  , 
R_77 , S113 , S07 , >> , ne127-ne450 ,  ,  , 
R_78 , S116 , S29 , >> , ne130-ne114 , D23_R ,  , 
R_79 , S116 , S07 , >> , ne130-ne450 ,  ,  , 
R_80 , S119 , S09 , >> , ne912-ne465 , D20_R-D21_R ,  , 
R_81 , S119 , S46 , >> , ne912-ne132 , D20_N ,  , 
R_82 , S126 , S43 , << , ne127-ne101 , D09_R-D10_R-D24_N ,  , 
R_83 , S126 , S23 , << , ne127-ne134 , D24_R ,  , 
R_84 , S128 , S40 , >> , ne65-ne992 , Sw01_N ,  , 
R_85 , S129 , S103 , << , ne992-ne65 , Sw01_N ,  , 
R_86 , S129 , S83 , << , ne992-ne400 , Sw02_R-Sw01_R ,  , 
R_87 , S131 , S80 , << , ne995-ne297 , Sw03_N ,  , 
R_88 , S132 , S27 , >> , ne297-ne995 , Sw03_N ,  , 
R_89 , S132 , S38 , >> , ne297-ne996 , Sw03_R-Sw04_R ,  , 
R_90 , S135 , S37 , << , ne996-ne292 , Sw04_N ,  , 
R_91 , S135 , S80 , << , ne996-ne297 , Sw03_R-Sw04_R ,  , 
