Route , Signal_start , Signal_end , Direction , netElements , switch , platform , LevelCrossings
R_01 , T02 , S42 , << , ne3-ne3 ,  , Plat10 , 
R_02 , T04 , J25 , >> , ne40-ne40 ,  ,  , 
R_03 , J05 , J11 , >> , ne49-ne49 ,  , Plat11 , Lc11
R_04 , J06 , J24 , << , ne49-ne40 , Sw27_R-Sw29_N ,  , 
R_05 , J07 , J13 , >> , ne50-ne50 ,  , Plat12 , Lc09
R_06 , J09 , X31 , >> , ne46-ne46 ,  , Plat13 , 
R_07 , J10 , J24 , << , ne46-ne40 , Sw27_N ,  , 
R_08 , J11 , J17 , >> , ne49-ne3 , Sw31_R-Sw33_N ,  , 
R_09 , J12 , J06 , << , ne49-ne49 ,  , Plat11 , Lc11
R_10 , J13 , J17 , >> , ne50-ne3 , Sw31_R-Sw33_R ,  , 
R_11 , J14 , B46 , << , ne50-ne50 ,  , Plat12 , Lc09
R_12 , J16 , J10 , << , ne46-ne46 ,  , Plat13 , Lc10
R_13 , J17 , J21 , >> , ne3-ne3 ,  , Plat10 , 
R_14 , J21 , T01 , >> , ne3-ne3 ,  ,  , 
R_15 , J24 , J26 , << , ne40-ne40 ,  , Plat14 , 
R_16 , J25 , S36 , >> , ne40-ne40 ,  , Plat14 , 
R_17 , J26 , T03 , << , ne40-ne40 ,  ,  , 
R_18 , X31 , C41 , >> , ne46-ne46 ,  ,  , Lc10
R_19 , X33 , J17 , >> , ne49-ne3 , Sw31_R-Sw33_N ,  , Lc11
R_20 , S36 , J09 , >> , ne40-ne46 , Sw27_N ,  , 
R_21 , S36 , J05 , >> , ne40-ne49 , Sw27_R-Sw29_N ,  , 
R_22 , S36 , J07 , >> , ne40-ne50 , Sw27_R-Sw29_R ,  , 
R_23 , C41 , J17 , >> , ne46-ne3 , Sw31_N ,  , 
R_24 , S42 , J16 , << , ne3-ne46 , Sw31_N ,  , 
R_25 , S42 , J12 , << , ne3-ne49 , Sw31_R-Sw33_N ,  , 
R_26 , S42 , J14 , << , ne3-ne50 , Sw31_R-Sw33_R ,  , 
R_27 , B46 , J24 , << , ne50-ne40 , Sw27_R-Sw29_R ,  , 
